Program Name,Category,Agency Name,Bureau Name,Funding Amount,Funding Amount Notes,Period of Availability,Funding Mechanism,New Program (Yes/No),Recipients,Program Description,Eligible Uses,Next Program Milestone,sam.gov link,Statutory Location,Federal Cost Share Requirement
Charging and Fueling Infrastructure Grants (Corridor Charging),"Electric Vehicles, Buses and Ferries",Department of Transportation,Federal Highway Administration,"$1,250,000,000",,4 year,Competitive Grant,Yes,"State or political subdivision of a State, Metropolitan Planning Organizations, Local government, Special purpose district or public authority with a transportation function, Tribe, Territory",Deploy electric vehicle charging and hydrogen/propane/natural gas fueling infrastructure along designated alternative fuel corridors and in communities.,"Acquisition and installation of publicly accessible electric vehicle charging or alternative fueling infrastructure, operating assistance (for the first 5 years after installation), acquisition and installation of traffic control devices.",NOFO Open in Spring 2023,https://sam.gov/fal/50471f650c3c4bb6a74b40c151b0381a/view,11101; 11401,80 percent Federal / 20 percent non-Federal
Civil Nuclear Credit Program,Clean Energy and Power,Department of Energy,Nuclear Energy,"$6,000,000,000",,fiscal year 2022 - 2026,Credit allocation,Yes,Certified nuclear reactors,"To establish a Civil Nuclear Credit (CNC) Program to prevent premature retirements of existing commercial nuclear reactors due to economic factors. The CNC Program will: certify nuclear reactors for program eligibility; establish a process to accept sealed bids for credits from certified nuclear reactors; allocate credits to certified nuclear reactors; and conduct periodic audits, with possible recapture of credits.","Nuclear reactors that compete in a competitive electricity market and are projected to cease operations due to economic factors during the four-year credit period may apply for certification. The Secretary of Energy must determine that the nuclear reactor is projected to cease operations due to economic factors, that emissions will increase if the nuclear reactor retires, and that the U.S. Nuclear Regulatory Commission has reasonable assurance that the nuclear reactor will continue to operate consistent with its current licensing basis and that it poses no significant safety hazards. The first CNC award period, which began with the publication of Guidance on April 19, 2022, prioritizes nuclear reactors that made a public filing before November 15, 2021 of the intent to cease operations. Future award periods will not be limited to nuclear reactors that have publicly announced their intentions to cease operations.",Application submission deadline in Q3 2022,https://sam.gov/fal/061365dcf8ca4f8ba8f331bdff38f40e/view,40323,Not applicable
Clean Energy Demonstrations on Current and Former Mine Land,Environmental Remediation,Department of Energy,Office of Clean Energy Demonstrations,"$500,000,000",,Available through 2026,"Grant, Cooperative Agreement, or Other",Yes,Will be stipulated in competitive solicitation,"To demonstrate the technical and economic viability of carrying out clean energy projects on current and former mine land. Up to five 5 clean energy projects are to be carried out in geographically diverse regions, at least 2 of which shall be solar projects.","The term “clean energy project” ​means a project that demonstrates 1 or more of the following technologies:​

(A) Solar.

(B) Micro-grids.​

(C) Geothermal.​

(D) Direct air capture.​

(E) Fossil-fueled electricity generation with carbon ​capture, utilization, and sequestration.​

(F) Energy storage, including pumped storage hydropower and ​compressed air storage.​

(G) Advanced nuclear technologies.​

In selecting clean energy projects for participation in the program under paragraph (1), the Secretary shall prioritize clean energy projects that will—​

(A) be carried out in a location where the greatest number of jobs can be created from the successful demonstration of the clean energy project;​

(B) provide the greatest net impact in avoiding or reducing greenhouse gas emissions;​

(C) provide the greatest domestic job creation (both directly and indirectly) during the implementation of the clean energy project;​

(D) provide the greatest job creation and economic development in the vicinity of the clean energy project, particularly—​

(i) in economically distressed areas; and ​

(ii) with respect to dislocated workers who were previously employed in manufacturing, coal power plants, or coal mining;​

(E) have the greatest potential for technological innovation and commercial deployment; ​

(F) have the lowest levelized cost of generated or stored energy;​

(G) have the lowest rate of greenhouse gas emissions per unit of electricity generated or stored; and​

(H) have the shortest project time from permitting to completion.​",RFI Closed in Q3 2022,https://sam.gov/fal/e5b2ef64248a42c4a1f3969f8f90bc13/view,40342,
Clean Hydrogen Electrolysis Program,Clean Energy and Power,Department of Energy,Energy Efficiency and Renewable Energy,"$1,000,000,000",,Available until expended," Grants, Contracts, Cooperative Agreements, or any other agreements authorized under this Act or other Federal law",Yes," Nonprofit and for-profit private entities, Institutions of higher education, National Laboratories, Consortia, State and local governments, Tribes and Tribal organizations, and other entities deemed eligible by the secretary","To establish a research, development, demonstration, and deployment program for purposes of commercialization to improve the efficiency, increase the durability, and reduce the cost of producing clean hydrogen using electrolyzers.","(1) To demonstrate technologies that produce clean hydrogen using electrolyzers; and (2) to validate information on the cost, efficiency, durability, and feasibility of commercial deployment.",NOI Released in Q4 2022,https://sam.gov/fal/3f75036824054409bfe2bcf24b45d8f2/view,40314,TBD
"Clean Hydrogen Manufacturing Recycling Research, Development, and Demonstration Program",Clean Energy and Power,Department of Energy,Energy Efficiency and Renewable Energy,"$500,000,000",,Available until expended,"Grants, contracts, cooperative agreements, or any other agreements authorized under this Act or other Federal law",Yes," Nonprofit and for-profit private entities, institutions of higher education, national laboratories, consortia, State and local governments, Tribes and Tribal organizations, and other entities deemed eligible by the secretary","To provide Federal financial assistance to advance new clean hydrogen production, processing, delivery, storage, and use equipment manufacturing technologies and techniques.","(A) Increasing the efficiency and cost-effectiveness of the recovery of raw materials from clean hydrogen technology components and systems; (B) minimizing environmental impacts from the recovery and disposal processes; (C) addressing any barriers to the research, development, demonstration, and commercialization of technologies and processes for the disassembly and recycling; (D) developing alternative materials, designs, manufacturing processes, and other aspects of clean hydrogen technologies; (E) developing alternative disassembly and resource recovery processes that enable efficient, cost-effective, and environmentally responsible disassembly of and resource recovery from clean hydrogen technologies; and (F) developing strategies to increase consumer acceptance of and participation in the recycling of fuel cells.",NOI Released in Q4 2022,https://sam.gov/fal/3f75036824054409bfe2bcf24b45d8f2/view,40314,TBD
Clean School Bus Program,"Electric Vehicles, Buses and Ferries",Environmental Protection Agency,State and Tribal Assistance Grants,"$5,000,000,000",,Available until expended,"Grant, Rebate and Contract",Yes,Local or State Governmental Entities; An Eligible Contractor; A Nonprofit School Transportation Association; Or an Tribe,"State or local governments, eligible contractors, and nonprofit school transportation associations are authorized to receive grant funds. Fifty percent of the funds are authorized for zero-emission school buses, and fifty percent of the funds are authorized for alternative fuels and zero-emission school buses. Funds may be prioritized for rural or low-income communities and entities that have matching funds available. The Environmental Protection Agency Administrator is authorized to provide funds to cover up to 100 percent of the costs for the replacement of the bus.","State or local governments, eligible contractors, and nonprofit school transportation associations are authorized to receive grant funds. Fifty percent of the funds are authorized for zero-emission school buses, and fifty percent of the funds are authorized for alternative fuels and zero-emission school buses. Funds may be prioritized for rural or low-income communities and entities that have matching funds available. The Environmental Protection Agency Administrator is authorized to provide funds to cover up to 100 percent of the costs for the replacement of the bus.","Rebate applications due August 19, 2022; award year 1 rebates in October",,71101,No non-Federal cost share required
Clean Water State Revolving Fund,Water,Environmental Protection Agency,State and Tribal Assistance Grants,"$11,713,000,000",,Available until expended,Loans and Grants,No,"States initially receive funding, then provide funds to Water Utilities and/or Municipal and Other Eligible Entities. Tribes and Territories are also eligible to receive a portion of State Revolving Fund funds.","The Clean Water State Revolving Fund program is a Federal-State partnership that provides communities low-cost financing for a wide range of water quality infrastructure projects. Under the Bipartisan Infrastructure Law, 49 percent of Clean Water State Revolving Fund funds shall be eligible to be grants or 100 percent principal forgiveness loans. The Clean Water State Revolving Fund program provides capitalization grants to States, which will provide a long-term source of State financing for construction of wastewater treatment facilities and implementation of other water quality management activities.","Capitalization grants are available to each State and to Tribes and territories for the purpose of establishing a Clean Water State Revolving Fund. State Revolving Fund programs provide financial assistance to local communities and publicly owned treatment systems for construction of wastewater and stormwater treatment facilities and collection systems; nonpoint source pollution management; construction, repair, or replacement of decentralized wastewater treatment systems; construction of nature-based infrastructure solutions; and other uses associated with the management of wastewater and stormwater.",Capitalization grants are issued after states complete their Intended Use Plan (IUP). Most Year 1 capitalization grants should be issued in fall 2022.,https://sam.gov/fal/51bb78d8816240279c54ad4a3fda4a00/view,50210,No non-Federal cost share required
Clean Water State Revolving Fund-Emerging Contaminants,Water,Environmental Protection Agency,State and Tribal Assistance Grants,"$1,000,000,000",,Available until expended,Grant,No,"States initially receive funding, then provide funds to Water Utilities and/or Municipal and Other Eligible Entities. Tribes and Territories are also eligible to receive a portion of State Revolving Fund funds.","Clean Water State Revolving Fund funding as described in the Clean Water State Revolving Fund program, with eligible projects limited to those that address emerging contaminants, such as PFAS.","States apply for a capitalization grant with no State match required. The States provide loans with principal forgiveness or grants to fund clean water infrastructure projects to address emerging contaminants, including PFAS. Further information will be forthcoming.",Capitalization grants are issued after states complete their Intended Use Plan (IUP). Most Year 1 capitalization grants should be issued in fall 2022.,https://sam.gov/fal/51bb78d8816240279c54ad4a3fda4a00/view,"Division J, Title VI",No non-Federal cost share required
"Coastal Storm Risk Management, Hurricane, And Storm Damage Reduction Projects",Resilience,Department of Defense – Army Corps of Engineers,Corps of Engineers – Civil Works,"$2,550,000,000",,Available until expended,Direct Federal,No,The Army Corps will use this funding to construct authorized Federal storm damage reduction projects.,"This program will fund the construction of projects that help to reduce the risk of damage in a coastal storm, targeting States that have been impacted by Federally declared disasters over the past six years, including $1 billion for multi-purpose projects or programs that include flood risk management benefits as a purpose ($200 million of which will be for shore protection projects).","Eligible Federal projects to reduce the risk of flood and storm damage along the Nation’s coasts, including on the Great Lakes.",To be determined,,"Division J, Title III","In general, unless otherwise specified in law, projects are cost shared 65 percent Federal, 35 percent non-Federal."
Coastal Zone Management,Resilience,Department of Commerce,National Oceanic and Atmospheric Administration,"$207,000,000",,2 years for each annual tranche,Grant,No,"States (Includes District Of Columbia, Public Institutions Of Higher Education, And Hospitals); U.S. Territories And Possessions; U.S. Territories And Possessions (Includes Institutions Of Higher Education And Hospitals); State; Any Coastal State.",The National Oceanic and Atmospheric Administration’s Office for Coastal Management will implement these funds through Coastal Zone Management competitive and noncompetitive grants. The purpose of these funds is to restore and protect coastal ecosystems through direct investment by coastal States and territories in ecologically significant habitats.,"The Coastal Zone Management Act established a national system of State and territorial Coastal Zone Management Programs. These Programs work with coastal States and territories to address urgent coastal issues including climate change, ocean planning, and planning for energy facilities and development. This funding will enable approved coastal programs to protect and restore ecologically significant habitats, including conserving lands that play a critical role in helping communities become more resilient to natural hazards such as storms, flooding, inundation, erosion, tsunamis, sea level rise, and lake level changes.",First Round of Funding Allocated / Selections Announced in Q2 2023,https://sam.gov/fal/c08dcbced00347c2875541ca0973608b/view,"Division J, Title II",No non-Federal cost share required
Collaborative Forest Landscape Restoration Program,Resilience,Department of Agriculture,Forest Service,"$100,000,000",,Available until expended,Direct Federal Spending,No,Forest Service Funding,"The Collaborative Forest Landscape Restoration Program uses collaborative, science-based approaches to enhance forest and watershed health, reduce risk from uncharacteristic wildfire, and provide benefits to rural economies.","With its focused investment on priority landscapes, partner capacity, and community support, Collaborative Forest Landscape Restoration Program projects are expanding the pace and scale of treatments that reduce the risk of widespread, high-mortality fires.",Internal Forest Service proposals solicited: https://www.fs.fed.us/restoration/CFLRP/,https://sam.gov/fal/18afc9d17aae448c83f9880af164f70b/view,40803,No non-Federal cost share required
Colorado River Drought Contingency Plan,Resilience,Department of the Interior,Bureau of Reclamation,"$300,000,000",,Available until expended,Financial Assistance,No,Open,"The Colorado River Basin Drought Contingency Plan aims to reduce the risk of Lake Mead and Lake Powell reaching critically low elevations. The DCP requires additional water savings contributions by Lower Basin States, allows for flexibility for water storage and recovery to incentivize conservation, requires Reclamation to implement programs designed to create or conserve additional water in the Lower Basin (subject to available appropriations), and provides for drought response operations and demand management in the Upper Basin.",Colorado River Basin Drought Contingency Plan actions,First Round of Funding Allocated / Selections Announced in November 2022,,40901,TBD
Colorado River Endangered Species Recovery and Conservation Programs,Resilience,Department of the Interior,Bureau of Reclamation,"$50,000,000",,Available until expended,Financial Assistance,No,Open,The Colorado River Basin Endangered Species and Conservation programs support the Upper Colorado River Endangered Fish and San Juan River Basin Recovery Implementation Programs and the Glen Canyon Dam Adaptive Management Program in the Upper Colorado Basin.,Endangered Species Act actions in Colorado River Basin,Additional Round of Funding Allocated / Selections Announced in FY 2023,https://sam.gov/fal/6b069a9cae5b40a3b850f44c888032aa/view,40901,TBD
Commercial Direct Air Capture Technology Prize Competition,Clean Energy and Power,Department of Energy,Fossil Energy and Carbon Management,"$100,000,000",,Available until expended,Prize,Yes,Industry Partner,Reauthorization of program to support large-scale pilot projects and demonstration projects and test carbon capture technologies.,Projects that advance the technical and commercial viability of technologies that result in net removal of CO2 from the atmosphere.,Prize Competition in Q4 2022,https://sam.gov/fal/e5b2ef64248a42c4a1f3969f8f90bc13/view,41005,TBD
Commercial Driver's License Implementation Program,Safety,Department of Transportation,Federal Motor Carrier Safety Administration,"$297,500,000",,Year of award + four years,Grant and Cooperative Agreement,No,"A State agency, local government, or any person",The Commercial Driver's License Implementation Program discretionary grant seeks to improve highway safety by supporting Commercial Driver's License Programs on a State and national level. The funding assists grant partners in achieving compliance with the Commercial Driver's License regulations in 49 CFR Parts 383 and 384 by providing funding directly to States and other entities capable of executing national projects to aid States in their compliance efforts.,"To assist the State in complying with the requirements of section 31311; to improve the State’s implementation of its commercial driver’s license program; research, development and testing, demonstration projects, public education, and other special activities and projects relating to commercial drivers licensing and motor vehicle safety",First Round of Funding Allocated / Selections Announced in July 2022,https://sam.gov/fal/0dee7c8dfde141ccad81dcf7a3caae67/view,23001,Federal share is at least 85 percent.
Commercial Motor Vehicle Enforcement Training & Support Grant Program,Safety,Department of Transportation,Federal Motor Carrier Safety Administration,"$25,000,000",,Year of award + four years,Grant and Cooperative Agreement,Yes,Non-profit organization with expertise in conducting training for non-Federal government employees and the ability to reach and involve a target population of Commercial Motor Vehicle safety enforcement employees,The purpose of this new discretionary grant is to train non-Federal government employees who conduct Commercial Motor Vehicle enforcement activities and to develop related training materials.,The purpose is to train non-Federal government employees who conduct Commercial Motor Vehicle enforcement activities and to develop related training materials.,First Round of Funding Allocated / Selections Announced in Early Fall 2022,https://sam.gov/fal/dd8b06d8c9064012a3e92d30f747363d/view,23001,Federal share is 100 percent
Commercial Motor Vehicle Operators Grant Program,"Electric Vehicles, Buses and Ferries",Department of Transportation,Federal Motor Carrier Safety Administration,"$16,500,000",,Year of award + two years,Competitive Grant,No,An entity that can train individuals in the safe operation of commercial motor vehicles,"The Commercial Motor Vehicle Operator Safety Training grant program awards grants to a variety of educational institutions that provide commercial truck and bus driving training, including accredited public or private colleges, universities, vocational-technical schools, post-secondary educational institutions, truck driver training schools, associations, and State and local governments, including Federally recognized Tribal governments.",The purpose of this discretionary grant program is to train individuals in the safe operation of commercial motor vehicles and prioritize grant applications for programs to train former members of the armed forces and eligible family members.,First Round of Funding Allocated / Selections Announced in August 2022,https://sam.gov/fal/587beb06fbbb4ec78b50424cda5bbb74/view,23001,Federal share is at least 85 percent.
Community Wildfire Defense Grant Program For At-Risk Communities,Resilience,Department of Agriculture,Forest Service,"$1,000,000,000",,Each annual $100 million tranche has a 4-year period of availability,Grant,Yes,"Private Forest Owners, Communities At Risk From Wildfire, Tribal Communities, State Forestry Agencies And Other Nonprofit Organizations",Provide grants to communities at risk from wildfire to develop or revise their community wildfire protection plans and carry out projects described within those plans. It will include a mix of formula and competitive funds.,Under development,Funding Opportunity Closed in October 2022,,40803,Federal cost share for grants
Congestion Mitigation and Air Quality Improvement Program,"Roads, Bridges and Major Projects",Department of Transportation,Federal Highway Administration,"$13,200,000,000",,4 year,Formula Grant,No. Existing Program with Changed Eligibilities,States (including District of Columbia),"The Bipartisan Infrastructure Law continues the Congestion Mitigation and Air Quality Improvement Program to provide a flexible funding source to State and local governments for transportation projects and programs to help meet the requirements of the Clean Air Act. Funding is available to reduce congestion and improve air quality for areas that do not meet the National Ambient Air Quality Standards for ozone, carbon monoxide, or particulate matter (nonattainment areas) and for former nonattainment areas that are now in compliance (maintenance areas).","Transportation projects that reduce congestion and reduce the mobile source emissions for which an area has been designated nonattainment or maintenance for ozone, carbon monoxide, and particulate matter by the Environmental Protection Agency.",Guidance Released in Summer 2022,https://sam.gov/fal/50471f650c3c4bb6a74b40c151b0381a/view,11101; 11115,"Typically, 80 percent Federal / 20 percent non-Federal (for interstate projects 90 percent Federal/10 percent non-Federal)"
Congestion Relief Program,"Roads, Bridges and Major Projects",Department of Transportation,Federal Highway Administration,"$250,000,000",,4 year,Competitive Grant,Yes,"State, Metropolitan Planning Organization, city or municipality.","Advance innovative, integrated, and multimodal solutions to reduce congestion and the related economic and environmental costs in the most congested metropolitan areas with an urbanized area population of 1 million+.","Planning, design, implementation, and construction activities to achieve the program goals, including: deployment and operation of integrated congestion management systems, systems that implement or enforce high occupancy vehicle toll lanes or pricing strategies, or mobility services; and incentive programs that encourage carpooling, nonhighway travel during peak periods, or travel during nonpeak periods. Subject to certain requirements and approval by the Secretary, provides for tolling on the InterState System as part of a project carried out with a grant under the program.",NOFO Open in Spring 2023,https://sam.gov/fal/50471f650c3c4bb6a74b40c151b0381a/view,11101; 11404,80 percent Federal / 20 percent non-Federal
Consolidated Rail Infrastructure and Safety Improvement Grants,Passenger and Freight Rail,Department of Transportation,Federal Railroad Administration,"$5,000,000,000",,Available until expended,Competitive Grant,No,"States, including the District of Columbia. A group of States. An InterState Compact. A public agency or publicly chartered authority established by 1 or more States. A political subdivision of a State. Amtrak and other rail carriers providing intercity rail passenger transportation. Class II/III Railroads and associations that represent Class II/III Railroads. Rail carriers & equipment manufacturers, in partnership with at least 1 of the first 5 entities above. Federally recognized Tribes. Transportation Research Board. University Transportation Centers engaged in rail-related research. Non-profit labor organizations representing rail employees.","To fund projects that improve the safety, efficiency, and reliability of intercity passenger and freight rail.","Eligible projects include a wide range of freight and passenger rail capital, safety technology deployment, planning, environmental analyses, research, workforce development, and training projects. New eligibilities include: (1) measures to prevent trespassing on railroad property; (2) preparation of emergency plans for communities through which hazardous materials are transported by rail; (3) research, development, and testing to advance innovative rail projects; and (4) rehabilitating, remanufacturing, procuring, or overhauling locomotives to reduce emissions.",NOFO Open in Summer 2022,https://sam.gov/fal/a14bebc2b7334179b8ca5d72ae87c725/view,22907,80 percent Federal / 20 percent non-Federal with statutory preference for 50/50
Construction of Ferry Boats and Ferry Terminal Facilities,Ports and Waterways,Department of Transportation,Federal Highway Administration,"$912,000,000",,Available until expended,Formula Grant,No,Eligible ferry operations,"The Construction of Ferry Boats and Ferry Terminal Facilities program provides funding for ferry services which are important links in the network of Federal-aid highways, and in many cases, are the only reasonable form of transportation.",Replace or acquire new ferry boats; replace propulsion systems with newer cleaner and more energy-efficient power plants; update navigational control systems; construct new terminals; improve access for the disabled; and replace and construct new docking facilities.,Guidance Released in Summer 2022,https://sam.gov/fal/50471f650c3c4bb6a74b40c151b0381a/view,11121,80 percent Federal / 20 percent non-Federal
Consultations and Permitting,Other,Department of Commerce,National Oceanic and Atmospheric Administration,"$20,000,000",,2 years for each annual tranche,Various,No,Internal,The National Marine Fisheries Service conducts consultations with Federal action agencies under both the Endangered Species Act and the Magnuson-Stevens Fishery Conservation and Management Act. National Oceanic and Atmospheric Administration Fisheries also authorizes take under the Marine Mammal Protection Act. Completion of these consultations will enable the Administration to advance priorities to improve the Nation’s infrastructure while ensuring the conservation of our most vulnerable species and important habitats.,Capacity for consultations and incidental harassment authorizations for infrastructure projects planned by other Federal agencies,To be determined,,"Division J, Title II",No non-Federal cost share required
Continuing Authorities Program (Under Flood Control Act And River And Harbor Act),Resilience,Department of Defense – Army Corps of Engineers,Corps of Engineers – Civil Works,"$465,000,000",,Available until expended,Direct Federal,No,"The Army Corps will use this funding to plan, design, and construct small water resources projects.","Funds eligible small Army Corps projects, including $115 million for restoring fish and wildlife passage.","A variety of water resources projects which must meet program eligibility requirements, including a total Federal cost limit of ~$10 million.",To be determined,,"Division J, Title III","In general, unless otherwise specified in law: 
•	Section 14, Section 103, Section 205 and Section 206 projects are cost-shared 50 percent Federal/50 percent Non- Federal for feasibility studies and 65 percent Federal/35 percent Non- Federal for design and implementation
•	Section 107 projects are cost-shared 50 percent Federal/50 percent Non- Federal for feasibility studies and at varied percentages based on harbor depth
•	Section 204 projects are cost-shared 100 percent Federal/0 percent Non- Federal for feasibility studies and 65 percent Federal/35 percent Non- Federal for design and implementation
•	Section 1135 projects are cost-shared 50 percent Federal/50 percent Non- Federal for feasibility studies and 75 percent Federal/25 percent Non- Federal for design and implementation
•	Section 206 carveout and Water Resources Development Act 2020 Section 165(a) projects are cost-shared 100 percent Federal/0 percent Non-Federal for all project phases."
Contracts And Agreements For Restoration On Federal Lands,Resilience,Department of the Interior,Office of the Secretary,"$50,000,000",,"Funding available until expended for total amount across entire Program ($905 million), but portions of the total are allocated to specific fiscal years, each with a different period of availability",Contracts and Agreements,Yes,"Federal, State, Local, Tribal, Non-governmental Organizations","Contracts for ecological health restoration, to be enacted on no fewer than 10,000 acres of Federal land, including Indian forest land or rangeland","Entering into contracts, including stewardship contracts or agreements, to restore ecological health on Federal land, including Indian forest land or rangeland and for salaries and expenses associated with preparing and executing those contracts.",Additional Round of Funding Allocated / Selections Announced in 2023,,"Division J, Title VI",No non-Federal cost share required
Corps of Engineers Operation and Maintenance,Ports and Waterways,Department of Defense – Army Corps of Engineers,Corps of Engineers – Civil Works,"$4,000,000,000",Including $626 million For Damage Repairs And $40 million For Snowpack Monitoring,Available until expended,Direct Federal,No,"The Army Corps would use this funding for operation and maintenance of its projects, including coastal and inland navigation projects.","Funds inspection, operation, maintenance, and related activities for water resources projects operated and maintained by the Army Corps. These projects include navigation channels, navigation locks and dams, structures to reduce the risk of flood and storm damage (e.g., levees), and multi-purpose projects, as authorized in River and Harbor, Flood Control, and Water Resources Development Acts and other laws","Operation and maintenance of authorized Army Corps projects, including navigation channels and navigation locks and dams.",To be determined,,"Division J, Title III","Requirements vary according to applicable laws to various mission areas and other specific project requirements. In general, unless otherwise specified in law, projects are 100 percent Federally funded."
Cost-effective Codes Implementation for Efficiency and Resilience,Clean Energy and Power,Department of Energy,Energy Efficiency and Renewable Energy,"$225,000,000",,Available until expended,Grant,Yes,States and State partnerships,"A competitive grant program to enable sustained, cost-effective implementation of updated building energy codes to save customers money on their energy bills.","(A) To create or enable State or regional partnerships to provide training and materials to—(i) builders, contractors and subcontractors, architects, and other design and construction professionals, relating to meeting updated building energy codes in a cost-effective manner; and (ii) building code officials, relating to improving implementation of and compliance with building energy codes; (B) to collect and disseminate quantitative data on construction and codes implementation, including code pathways, performance metrics, and technologies used; (C) to develop and implement a plan for highly effective codes implementation, including measuring compliance; (D) to address various implementation needs in rural, suburban, and urban areas; and (E) to implement updates in energy codes for — (i) new residential and commercial buildings (including multifamily buildings); and (ii) additions and alterations to existing residential and commercial buildings (including multifamily buildings).",FOA Open in Q4 2022,https://sam.gov/fal/8d1d3019612640dbb9e4cc01bc812995/view,40511,
Countering Violent Extremism,Resilience,Department of Homeland Security,Science and Technology,"$12,800,000",,Five Year,Contract,No,"May include but not limited to: Academia/Centers of Excellence, Industry (Small Business Innovation Research), Department of Energy National Labs, and Federal Funded Research and Development Centers.   ","Acts of violence can pose a significant impact to American lives and Federal, State, local, and Tribal governments. This Program aims to conduct evidence-based research to meet the policy, operational, and public needs to improve effectiveness of public safety and violence prevention efforts implemented by Federal, State, territorial, Tribal, local, and non-governmental stakeholders.","Public safety and violence prevention to evaluate ”soft target” security, including countering improvised explosive device events and protection of U.S. critical infrastructure.","Estimated start date of first Research, Development, Test and Evaluation efforts in Q1 2023",,,
Crash Data,Safety,Department of Transportation,National Highway Traffic Safety Administration,"$750,000,000",,4 year,Competitive Grants and Contracts,Yes,"Grants: States, the Secretary of Interior for the Tribes, the District of Columbia, Puerto Rico, American Samoa, Guam, Commonwealth of the Northern Mariana Islands, and the U.S. Virgin Islands; ; Contracts: businesses, non-profits","Funding will be used pursuant to Bipartisan Infrastructure Law §24108 to improve crash data collections and analysis, specifically: to revise non-motorist data collection to distinguish individual personal conveyances like electric scooters and bicycles, update the Model Minimum Uniform Crash Criteria (MMUCC), collect additional data elements related to vulnerable road users, coordinate with Centers for Disease Control and Prevention on national database of pedestrian injuries & fatalities, increase participation in the Electronic Data Transfer (EDT) protocol via new State grant program and internal investment, and expand the Crash Investigation Sampling System by adding sites, broadening scope, and adopting on-scene investigation protocols","For EDT grants: equipment to upgrade a Statewide crash data repository, adoption of electronic crash reporting by law enforcement agencies, and increasing alignment of State crash data with the latest Model Minimum Uniform Crash Criteria.",RFI Released in Winter 2022,https://sam.gov/fal/178484207a4a4818883713eee525201e/view,24108,80 percent Federal / 20 percent non-Federal
Critical Infrastructure Security and Resilience Research,Resilience,Department of Homeland Security,Science and Technology,"$69,806,250",,5 Year,Contract,Yes,"May include but not limited to: Academia/Centers of Excellence, Industry (Small Business Innovation Research), Department of Energy National Labs, and Federal Funded Research and Development Centers. ",This program oversees activities performed under the Infrastructure Act and reports to Congress on the progress of Critical Infrastructure Security and Resilience Research program’s research and development activities.,"Planning tools for special event risk assessments rating. Electromagnetic pulse and geo-magnetic disturbance resilience capabilities. Positioning, navigation, and timing capabilities. Public safety and violence prevention to evaluate “soft target” security, including countering improvised explosive device events and protection of U.S. critical infrastructure. Research supporting security testing capabilities relating to telecommunications equipment, industrial control systems, and open-source software.","Estimated start date of first Research, Development, Test and Evaluation efforts in Q1 2023",,,
"Critical Material Innovation, Efficiency, And Alternatives",Clean Energy and Power,Department of Energy,Fossil Energy and Carbon Management,"$600,000,000",,Available until expended,Grant,Yes,Industry Partner,"To conduct a program of research, development, demonstration, and commercialization to develop alternatives to critical materials, to promote their efficient production and use, and ensure a long-term secure and sustainable supply of them.","(A) Alternative materials, particularly materials available in abundance within the United States and not subject to potential supply restrictions, that lessen the need for critical materials; (B) alternative energy technologies or alternative designs of existing energy technologies; (C) technologies or process improvements that minimize the use and content, or lead to more efficient use, of critical materials across the full supply chain; (D) innovative technologies and practices to diversify commercially viable and sustainable domestic sources of critical materials; (E) technologies, process improvements, or design optimizations that facilitate the recycling of critical materials; (F) advanced critical material extraction, production, separation, alloying, or processing technologies that decrease the energy consumption, environmental impact, and costs of those activities; (G) commercial markets, advanced storage methods, energy applications, and other beneficial uses of critical materials; and (H) advanced theoretical, computational, and experimental tools necessary to support the crosscutting research and development needs of diverse critical minerals stakeholders.",FOA Open in Q3 2022,https://sam.gov/fal/e5b2ef64248a42c4a1f3969f8f90bc13/view,41003,TBD
Critical Material Supply Chain Research Facility,Clean Energy and Power,Department of Energy,Fossil Energy and Carbon Management,"$75,000,000",,Available until expended,Contract,Yes,Industry partner,To support construction of a Critical Materials Supply Chain Research Facility.,"(A) Further enable research, development, demonstration, and commercialization activities throughout the supply chain for critical materials; and (B) Provide an integrated, rapidly reconfigurable research platform.",FOA Open in Q4 2022,https://sam.gov/fal/e5b2ef64248a42c4a1f3969f8f90bc13/view,41003,TBD
Cyber Response and Recovery Fund,Resilience,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,"$100,000,000",,5 year,"Contract, Grant, Cooperative Agreement",Yes,"Federal, State, Local, Tribal, and Territorial, Public, and private sector entities","This fund is a provision of the Cyber Response and Recovery Act (Section 70601 of the Bipartisan Infrastructure Law). It is based on a Cyberspace Solarium Commission recommendation, and at a high level, is a cyber Stafford Act which also establishes a fund (the Cyber Response and Recovery Fund) that the Cybersecurity and Infrastructure Security Agency can tap into in the event of a significant cyber incident when other resources are insufficient.","Coordinate asset response activities and engage in response and recovery activities, including grants or cooperative agreements in response to significant cyber incidents.",To be determined,,70601,No non-Federal cost share required
Cybersecurity,Resilience,Department of Homeland Security,Science and Technology,"$14,500,000",,5 year,Contract,No,"May include but not limited to: Academia/Centers of Excellence, Industry (Small Business Innovation Research), Department of Energy National Labs, and Federal Funded Research and Development Centers.   ","This program researches, analyzes, and develops technologies to strengthen defensive cybersecurity capabilities in a spectrum of strategic technical areas to mitigate risk to the Nation’s critical infrastructure, Federal departments and agencies, as well as State, territorial, Tribal and local organizations.",Research supporting security testing capabilities relating to telecommunications equipment and industrial control systems.,"Estimated start date of first Research, Development, Test and Evaluation efforts in Q1 2023",,,
